OMEGALUL	3.70000	0.47140	[3, 4, 4]
Pog	4.00000	0.00000	[4, 4, 4]
PepeHands	-3.00000	0.00000	[-3, -3, -3]
widepeepoHappy	4.00000	0.00000	[4, 4, 4]
LULW	2.70000	0.47140	[3, 2, 3]
Pepega	-1.30000	3.09121	[3, -3, -4]
KEKW	3.00000	0.00000	[3, 3, 3]
monkaW	-2.30000	0.47140	[-2, -3, -2]
5Head	3.70000	0.47140	[3, 4, 4]
POGGERS	4.00000	0.00000	[4, 4, 4]
monkaS	-2.30000	0.47140	[-3, -2, -2]
AYAYA	3.30000	0.47140	[4, 3, 3]
PepeLaugh	2.70000	0.47140	[2, 3, 3]
widepeepoSad	-3.00000	0.00000	[-3, -3, -3]
Sadge	-4.00000	0.00000	[-4, -4, -4]
FeelsBadMan	-4.00000	0.00000	[-4, -4, -4]
HYPERS	4.00000	0.00000	[4, 4, 4]
YEP	3.70000	0.47140	[3, 4, 4]
FeelsOkayMan	1.30000	0.47140	[2, 1, 1]
Kapp	-0.30000	0.94281	[1, -1, -1]
EZY	2.70000	0.47140	[3, 2, 3]
HandsUp	3.30000	0.47140	[3, 4, 3]
PepoThink	0.30000	0.47140	[0, 1, 0]
gachiGASM	3.00000	1.41421	[1, 4, 4]
3Head	-1.30000	0.94281	[0, -2, -2]
FeelsWeirdMan	-1.30000	0.47140	[-2, -1, -1]
monkaHmm	0.30000	0.47140	[0, 1, 0]
forsenCD	-0.70000	0.47140	[0, -1, -1]
KKomrade	1.00000	0.00000	[1, 1, 1]
PepoG	0.70000	0.47140	[0, 1, 1]
monkaOMEGA	-3.00000	0.81650	[-2, -4, -3]
monkaGun	-4.00000	0.00000	[-4, -4, -4]
peepoBlanket	2.70000	0.47140	[2, 3, 3]
monkaEyes	-3.00000	0.00000	[-3, -3, -3]
FeelsStrongMan	3.00000	1.41421	[1, 4, 4]
peepoHappy	4.00000	0.00000	[4, 4, 4]
HYPERBRUH	-2.70000	0.47140	[-2, -3, -3]
monkaTOS	-4.00000	0.00000	[-4, -4, -4]
peepoLove	4.00000	0.00000	[4, 4, 4]
weSmart	3.00000	0.00000	[3, 3, 3]
FeelsGoodMan	3.30000	0.47140	[3, 3, 4]
KKonaW	0.30000	0.47140	[1, 0, 0]
FeelsDankMan	1.00000	0.00000	[1, 1, 1]
REEeee	-4.00000	0.00000	[-4, -4, -4]
monkaH	-3.70000	0.47140	[-3, -4, -4]
FeelsSpecialMan	-2.00000	0.81650	[-1, -2, -3]
4HEad	-1.30000	0.94281	[0, -2, -2]
KEKWait	-1.00000	0.00000	[-1, -1, -1]
WideHardo	-1.00000	0.81650	[0, -1, -2]
monkaMEGA	-3.70000	0.47140	[-3, -4, -4]
Prayge	1.70000	0.47140	[1, 2, 2]
peepoSad	-2.70000	0.47140	[-3, -2, -3]
YouDied	-2.70000	0.47140	[-2, -3, -3]
pikachuS	-0.30000	0.47140	[0, -1, 0]
peepoClown	-1.00000	0.00000	[-1, -1, -1]
COPIUM	-2.70000	0.47140	[-3, -2, -3]
WICKED	2.30000	0.47140	[3, 2, 2]
Madge	-2.70000	0.47140	[-3, -2, -3]
PepegaPhone	-1.30000	1.69967	[1, -2, -3]
WideHard	-0.70000	0.94281	[0, 0, -2]
peepoWTF	-1.70000	0.47140	[-2, -1, -2]
WeirdChamp	-1.30000	0.47140	[-1, -1, -2]
POGGIES	3.70000	0.47140	[4, 3, 4]
DICKS	0.00000	0.00000	[0, 0, 0]
peepoFat	0.70000	0.47140	[0, 1, 1]
PressF	-0.70000	1.24722	[1, -2, -1]
MEGALUL	-3.30000	0.47140	[-3, -4, -3]
PauseChamp	-0.30000	0.47140	[-1, 0, 0]
Pepepains	-1.30000	0.47140	[-2, -1, -1]
Okayge	0.00000	0.81650	[1, 0, -1]
HeavyBreathing	0.30000	0.94281	[-1, 1, 1]
Thonk	0.70000	0.47140	[0, 1, 1]
4Weird	-1.00000	0.00000	[-1, -1, -1]
TRIGGERED	-3.00000	0.00000	[-3, -3, -3]
widepeepoBlanket	1.70000	1.24722	[0, 2, 3]
WaitWhat	-1.00000	0.00000	[-1, -1, -1]
Klappa	1.30000	0.47140	[2, 1, 1]
Pogey	3.30000	0.47140	[4, 3, 3]
PeepoGlad	3.70000	0.47140	[4, 4, 3]
monkaChrist	-3.00000	0.00000	[-3, -3, -3]
SmileW	3.00000	0.00000	[3, 3, 3]
GG!	3.00000	0.81650	[4, 3, 2]
4House	-0.70000	0.47140	[0, -1, -1]
Stonks	1.70000	0.47140	[1, 2, 2]
pepeJAM	2.70000	0.47140	[2, 3, 3]
peepoPoo	0.70000	0.47140	[0, 1, 1]
SadCatW	-3.00000	0.00000	[-3, -3, -3]
Hmm	0.00000	0.81650	[-1, 1, 0]
Hahaa	-0.30000	0.94281	[1, -1, -1]
PagMan	2.00000	0.00000	[2, 2, 2]
gachiHYPER	2.70000	0.47140	[2, 3, 3]
ThisIsFine	-1.70000	0.47140	[-1, -2, -2]
sadKEK	-2.70000	0.47140	[-3, -3, -2]
HYPERDANSGAME	-3.00000	1.41421	[-1, -4, -4]
monkaGIGA	-2.70000	0.47140	[-2, -3, -3]
SuchMeme	0.00000	0.00000	[0, 0, 0]
2Head	-2.00000	0.81650	[-1, -2, -3]
pepePoint	1.00000	0.00000	[1, 1, 1]
EHEHE	2.30000	0.47140	[3, 2, 2]
4Shrug	0.00000	0.00000	[0, 0, 0]
MaN	0.00000	0.00000	[0, 0, 0]
Clap	3.30000	0.47140	[4, 3, 3]
peepoHug	3.30000	0.47140	[4, 3, 3]
Bedge	-1.70000	0.47140	[-1, -2, -2]
PepeLmao	2.00000	0.00000	[2, 2, 2]
stopS	-1.00000	0.00000	[-1, -1, -1]
CatWhat	0.00000	0.00000	[0, 0, 0]
StrimPlz	-1.30000	0.47140	[-2, -1, -1]
POOGERS	-0.70000	1.24722	[1, -1, -2]
FacePalm	-2.30000	0.47140	[-2, -2, -3]
monkaSpeed	-1.70000	0.47140	[-1, -2, -2]
KKona	0.00000	0.00000	[0, 0, 0]
okiRIP	-0.70000	1.24722	[1, -2, -1]
KEKL	0.00000	1.41421	[1, -2, 1]
pepeGun	-1.70000	0.47140	[-1, -2, -2]
Susge	-1.70000	0.94281	[-3, -1, -1]
SadCat	-3.30000	0.47140	[-4, -3, -3]
widepeepoHug	3.00000	0.00000	[3, 3, 3]
JUSTDOIT	1.30000	0.94281	[0, 2, 2]
Bruh	-1.70000	0.94281	[-3, -1, -1]
gachiBASS	1.70000	0.47140	[1, 2, 2]
eShrug	0.00000	0.00000	[0, 0, 0]
OkayChamp	0.30000	0.47140	[0, 1, 0]
KannaNom	1.30000	0.94281	[0, 2, 2]
FeelsBirthdayMan	2.00000	0.00000	[2, 2, 2]
PLEASENO	-2.00000	0.00000	[-2, -2, -2]
pepeLaugh	1.30000	0.47140	[1, 1, 2]
peepoShy	1.30000	0.47140	[1, 1, 2]
HUH	-1.00000	0.00000	[-1, -1, -1]
VWasted	-1.30000	0.47140	[-1, -2, -1]
PepeClown	-1.00000	0.00000	[-1, -1, -1]
RAGEY	-4.00000	0.00000	[-4, -4, -4]
WTFF	-2.00000	0.00000	[-2, -2, -2]
PillowNo	0.00000	0.00000	[0, 0, 0]
PillowYes	0.00000	0.00000	[0, 0, 0]
4WeirdW	-1.30000	0.47140	[-2, -1, -1]
FeelsWeirdManW	-1.30000	0.47140	[-2, -1, -1]
MikuStare	0.00000	0.00000	[0, 0, 0]
peepoFinger	-0.30000	0.47140	[-1, 0, 0]
Tuturu	0.70000	0.47140	[0, 1, 1]
peepoBlush	2.00000	0.00000	[2, 2, 2]
FeelsWowMan	2.30000	0.47140	[3, 2, 2]
